,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,Contract,TotalCharges,Churn
82,Female,0,Yes,No,7,Yes,No,Month-to-month,496.9,Yes
83,Female,0,No,No,42,Yes,No,Month-to-month,4327.5,No
84,Female,0,Yes,No,49,Yes,No,Two year,973.35,No
85,Male,0,No,No,9,Yes,Yes,Month-to-month,918.75,No
86,Female,0,Yes,No,35,Yes,No,One year,2215.45,No
87,Female,0,Yes,Yes,48,Yes,No,Two year,1057.0,No
88,Female,0,Yes,Yes,46,Yes,No,Two year,927.1,No
89,Male,0,Yes,No,29,No,No phone service,Month-to-month,1009.25,No
90,Male,0,Yes,Yes,30,Yes,No,Month-to-month,2570.2,No
91,Male,1,No,No,1,Yes,No,Month-to-month,74.7,No
92,Male,0,Yes,Yes,66,Yes,Yes,Two year,5714.25,No
93,Female,0,No,No,65,Yes,Yes,Month-to-month,7107.0,No
94,Male,0,No,No,72,Yes,Yes,Two year,7459.05,No
95,Female,0,No,No,12,Yes,Yes,Month-to-month,927.35,Yes
96,Male,0,Yes,Yes,71,Yes,Yes,One year,4748.7,No
97,Male,0,No,No,5,Yes,No,Month-to-month,113.85,Yes
98,Male,0,No,No,52,Yes,No,Two year,1107.2,No
99,Female,1,Yes,No,25,Yes,No,Month-to-month,2514.5,Yes
100,Male,0,No,No,1,Yes,No,Month-to-month,20.2,No
101,Female,0,Yes,Yes,1,Yes,No,Month-to-month,19.45,No
102,Male,0,No,No,38,Yes,Yes,One year,3605.6,No
103,Female,1,Yes,No,66,No,No phone service,One year,3027.25,No
104,Male,0,Yes,No,68,Yes,Yes,Two year,7611.85,Yes
105,Male,0,No,No,5,No,No phone service,Month-to-month,100.2,No
106,Female,0,Yes,Yes,72,Yes,Yes,One year,7303.05,No
107,Female,0,No,No,32,No,No phone service,One year,927.65,No
108,Male,0,No,No,43,Yes,Yes,One year,3921.3,No
109,Male,0,Yes,Yes,72,Yes,No,Two year,1363.25,No
110,Male,0,Yes,No,55,Yes,Yes,Month-to-month,5238.9,Yes
111,Female,0,No,No,52,Yes,No,One year,3042.25,No
112,Female,0,No,No,43,Yes,No,Month-to-month,3954.1,No
113,Female,1,Yes,No,37,Yes,Yes,Month-to-month,2868.15,Yes
114,Female,0,Yes,Yes,64,No,No phone service,Two year,3423.5,No
115,Male,0,Yes,Yes,3,Yes,No,Month-to-month,248.4,No
116,Female,0,No,No,36,No,No phone service,Two year,1126.35,No
117,Female,0,Yes,Yes,10,Yes,Yes,Month-to-month,1064.65,Yes
118,Female,0,No,No,41,Yes,No,Two year,835.15,No
119,Male,0,Yes,Yes,27,Yes,Yes,Month-to-month,2151.6,No
120,Female,0,Yes,Yes,56,Yes,Yes,One year,5515.45,No
121,Female,0,No,No,6,Yes,No,Month-to-month,112.75,No
122,Male,0,No,No,3,Yes,Yes,Month-to-month,229.55,Yes
123,Female,0,Yes,Yes,7,Yes,No,Month-to-month,350.35,No
124,Female,0,Yes,Yes,4,Yes,No,Month-to-month,62.9,No
125,Male,0,No,No,33,Yes,No,Two year,3027.65,No
126,Female,1,No,No,27,Yes,Yes,Month-to-month,2135.5,Yes
127,Male,0,Yes,No,72,Yes,Yes,Two year,1723.95,No
128,Male,0,No,No,1,Yes,No,Month-to-month,19.75,No
129,Male,1,No,No,71,No,No phone service,One year,3985.35,No
130,Female,0,No,No,13,Yes,Yes,Month-to-month,1215.65,No
131,Female,0,Yes,Yes,25,No,No phone service,Month-to-month,1502.65,Yes
132,Male,0,No,No,67,Yes,No,Two year,3260.1,No
133,Male,0,No,No,1,No,No phone service,Month-to-month,35.45,Yes
134,Male,0,No,No,2,Yes,No,Month-to-month,81.25,Yes
135,Female,0,No,No,43,Yes,Yes,Two year,1188.2,No
136,Female,0,No,No,23,Yes,No,Month-to-month,1778.5,No
137,Female,0,Yes,Yes,64,Yes,No,Two year,1277.75,No
138,Male,0,No,Yes,57,Yes,No,Two year,1170.55,No
139,Female,1,Yes,No,1,Yes,No,Month-to-month,70.45,Yes
140,Female,1,Yes,Yes,72,Yes,Yes,Two year,6425.65,No
141,Female,0,No,No,8,Yes,Yes,Month-to-month,563.65,Yes
142,Female,0,Yes,No,61,Yes,Yes,Two year,5971.25,No
143,Male,0,No,No,64,Yes,Yes,One year,5289.05,No
144,Male,1,Yes,No,71,Yes,Yes,Two year,1756.2,No
145,Female,0,Yes,Yes,65,Yes,Yes,Two year,6416.7,No
146,Male,0,No,No,3,Yes,No,One year,61.35,No
147,Male,0,No,No,1,Yes,No,Month-to-month,45.65,Yes
148,Male,0,No,Yes,30,Yes,No,One year,1929.95,No
149,Male,0,Yes,Yes,15,Yes,No,Month-to-month,1071.4,No
150,Female,0,Yes,Yes,8,Yes,No,Month-to-month,564.35,No
151,Male,0,No,No,7,Yes,Yes,Month-to-month,655.5,Yes
152,Female,0,Yes,Yes,70,Yes,Yes,One year,7930.55,No
153,Male,0,Yes,Yes,62,Yes,No,Two year,5215.25,No
154,Female,0,Yes,Yes,6,Yes,No,Month-to-month,113.5,No
155,Female,0,Yes,Yes,14,Yes,No,Month-to-month,1152.8,No
156,Female,0,No,No,22,Yes,Yes,Month-to-month,1821.95,No
157,Male,0,Yes,Yes,22,Yes,No,One year,419.9,No
158,Male,0,Yes,Yes,16,Yes,No,Two year,1024.0,No
159,Male,0,No,No,10,Yes,Yes,Two year,251.6,No
160,Female,0,No,Yes,13,Yes,No,Month-to-month,764.55,No
161,Female,0,Yes,No,20,Yes,Yes,Month-to-month,1592.35,Yes
162,Female,0,No,No,2,Yes,No,Month-to-month,135.2,No
163,Male,0,No,No,53,Yes,Yes,Two year,3958.25,No
164,Female,0,Yes,Yes,11,Yes,No,One year,233.9,No
165,Male,0,Yes,No,69,Yes,No,Two year,1363.45,No
166,Female,0,No,No,4,Yes,No,Month-to-month,273.0,Yes
167,Male,0,Yes,No,72,Yes,Yes,Two year,6254.45,No
168,Male,1,Yes,No,58,No,No phone service,Month-to-month,2651.2,Yes
169,Female,0,Yes,Yes,16,Yes,No,Month-to-month,321.4,No
170,Male,0,Yes,No,43,Yes,No,One year,3539.25,No
171,Female,0,Yes,No,2,Yes,Yes,Month-to-month,242.8,Yes
172,Male,0,Yes,No,14,Yes,No,Two year,1181.75,No
173,Female,0,Yes,No,53,Yes,No,One year,5000.2,Yes
174,Female,0,No,No,32,Yes,No,One year,654.55,No
175,Female,0,Yes,No,34,Yes,Yes,Month-to-month,780.2,No
176,Female,1,No,No,15,Yes,Yes,Month-to-month,1145.7,Yes
177,Female,1,No,No,7,Yes,No,Month-to-month,503.6,Yes
178,Female,0,Yes,Yes,15,Yes,Yes,Month-to-month,1559.25,No
179,Male,0,Yes,No,61,Yes,No,One year,1252.0,No
180,Female,0,No,No,1,No,No phone service,Month-to-month,29.95,Yes
181,Female,0,No,No,1,Yes,No,Month-to-month,45.3,No
182,Male,0,No,No,8,Yes,Yes,Month-to-month,662.65,Yes
183,Male,0,Yes,Yes,33,Yes,No,One year,2453.3,No
184,Female,0,No,No,13,Yes,No,Month-to-month,1111.65,Yes
185,Female,0,Yes,No,1,No,No phone service,Month-to-month,24.8,Yes
186,Male,0,No,No,20,Yes,No,Month-to-month,1023.85,No
187,Male,0,No,No,3,No,No phone service,Month-to-month,82.15,No
188,Female,0,No,No,13,Yes,No,One year,244.8,No
189,Female,0,Yes,No,40,Yes,Yes,Month-to-month,2379.1,No
190,Male,0,Yes,Yes,43,Yes,Yes,One year,3173.35,No
191,Male,0,Yes,No,6,Yes,No,Month-to-month,531.0,Yes
192,Female,0,Yes,Yes,69,Yes,No,Two year,1375.4,No
193,Female,0,Yes,Yes,72,Yes,Yes,Two year,8129.3,No
194,Male,0,Yes,Yes,59,Yes,No,Two year,1192.7,No
195,Female,0,Yes,No,20,Yes,No,Month-to-month,1901.65,No
196,Male,0,Yes,Yes,24,Yes,Yes,Two year,587.4,No
197,Male,0,No,No,59,Yes,Yes,Month-to-month,6519.75,No
198,Male,0,Yes,Yes,72,Yes,Yes,Two year,8041.65,No
199,Male,0,No,Yes,1,Yes,No,Month-to-month,20.75,No
200,Female,0,Yes,No,27,Yes,No,One year,2681.15,No
201,Female,0,No,No,14,Yes,No,Month-to-month,1112.3,No
202,Male,0,Yes,Yes,71,Yes,Yes,Two year,7405.5,No
203,Male,0,No,Yes,13,Yes,No,Month-to-month,1033.95,No
204,Male,0,No,No,44,Yes,No,Month-to-month,2958.95,No
205,Female,0,No,No,33,Yes,No,One year,2684.85,No
206,Male,0,Yes,Yes,72,No,No phone service,Two year,4179.2,No
207,Male,0,No,No,1,Yes,No,Month-to-month,79.9,Yes
208,Female,0,No,No,19,Yes,No,Month-to-month,1934.45,Yes
209,Male,0,Yes,No,64,Yes,No,One year,6654.1,No
210,Male,0,No,No,2,Yes,No,Month-to-month,84.5,Yes
211,Female,0,No,No,1,No,No phone service,Month-to-month,25.25,No
212,Male,0,No,Yes,61,Yes,No,Two year,1124.2,No
213,Female,0,Yes,Yes,29,Yes,No,One year,540.05,No
214,Male,1,Yes,No,23,Yes,Yes,Month-to-month,1975.85,No
215,Female,0,Yes,No,57,No,No phone service,Month-to-month,3437.45,No
216,Male,0,Yes,Yes,72,No,No phone service,Two year,3139.8,No
217,Male,0,Yes,No,66,No,No phone service,Two year,3789.2,No
218,Male,0,Yes,Yes,65,Yes,Yes,Two year,5324.5,No
219,Female,0,No,No,8,Yes,No,Month-to-month,624.6,No
220,Female,0,No,No,4,Yes,No,Month-to-month,268.35,Yes
221,Female,0,Yes,No,71,Yes,Yes,Two year,1836.9,No
222,Male,0,Yes,Yes,1,Yes,No,One year,20.2,No
223,Male,0,Yes,No,4,Yes,No,Month-to-month,179.35,Yes
224,Female,0,No,No,12,Yes,No,One year,219.35,No
225,Male,0,No,No,24,No,No phone service,One year,1288.75,No
226,Female,0,Yes,Yes,31,Yes,No,One year,2545.75,No
227,Female,0,Yes,No,1,Yes,No,Month-to-month,55.2,Yes
228,Male,0,No,No,30,Yes,Yes,Month-to-month,2723.15,No
229,Female,0,Yes,Yes,47,Yes,Yes,Two year,4107.25,No
230,Male,0,No,No,54,Yes,Yes,Two year,5760.65,No
231,Male,0,No,No,50,Yes,No,Month-to-month,4747.5,No
232,Male,0,No,No,1,Yes,No,Month-to-month,84.6,Yes
233,Female,0,No,No,72,Yes,No,Two year,1566.9,No
234,Female,0,No,No,29,Yes,Yes,Month-to-month,702.0,No
235,Male,0,No,No,2,Yes,Yes,Month-to-month,114.1,Yes
236,Female,0,No,No,10,No,No phone service,Two year,299.05,No
237,Male,0,Yes,No,18,Yes,Yes,Month-to-month,1305.95,No
238,Female,1,No,No,11,Yes,No,Month-to-month,1120.3,Yes
239,Male,0,No,No,16,Yes,No,Two year,284.35,No
240,Female,0,No,No,72,Yes,Yes,Two year,6350.5,No
241,Male,0,No,No,72,Yes,Yes,Two year,7878.3,No
242,Female,0,Yes,Yes,41,Yes,No,One year,3187.65,No
243,Female,1,Yes,No,65,Yes,No,Month-to-month,6126.15,No
244,Female,1,No,No,13,Yes,No,Month-to-month,731.3,No
245,Male,1,No,No,4,Yes,No,Month-to-month,273.4,No
246,Male,0,No,No,41,Yes,Yes,One year,2531.8,No
247,Male,1,No,No,15,Yes,No,Month-to-month,1074.3,Yes
248,Male,0,No,No,1,Yes,No,Month-to-month,48.55,Yes
249,Male,0,No,No,42,Yes,Yes,One year,4298.45,No
250,Female,0,Yes,No,51,Yes,No,One year,4619.55,No
251,Female,0,Yes,Yes,2,Yes,No,Month-to-month,147.15,Yes
252,Male,1,Yes,No,1,No,No phone service,Month-to-month,40.2,Yes
253,Male,0,No,Yes,32,Yes,Yes,One year,2633.3,No
254,Male,0,No,No,10,Yes,No,Month-to-month,193.05,No
255,Female,0,Yes,Yes,67,No,No phone service,Two year,4103.9,No
256,Female,0,Yes,Yes,61,Yes,Yes,Two year,7008.15,No
257,Male,0,No,No,50,Yes,Yes,One year,5791.1,No
258,Female,0,Yes,No,2,Yes,No,Month-to-month,80.55,Yes
259,Female,1,Yes,No,29,No,No phone service,Month-to-month,1228.65,No
260,Male,1,No,No,3,No,No phone service,Month-to-month,132.2,Yes
261,Male,1,No,No,13,Yes,Yes,Month-to-month,1364.3,Yes
262,Male,1,Yes,No,57,Yes,Yes,Month-to-month,4925.35,No
263,Female,0,No,No,31,No,No phone service,Two year,1520.1,No
264,Female,0,Yes,No,45,Yes,Yes,One year,5032.25,No
265,Female,0,Yes,Yes,61,Yes,Yes,Two year,5526.75,No
266,Male,0,No,No,50,Yes,Yes,Two year,1195.25,No
267,Female,1,No,No,19,Yes,No,Month-to-month,2007.25,No
268,Male,0,No,No,59,Yes,No,Two year,1099.6,Yes
269,Female,0,Yes,No,71,Yes,Yes,Two year,1732.95,No
270,Female,1,No,No,16,Yes,No,Month-to-month,1511.2,Yes
271,Male,0,Yes,No,57,Yes,No,Two year,3450.15,No
272,Male,0,No,No,1,No,No phone service,Month-to-month,24.8,Yes
273,Male,1,Yes,No,20,Yes,Yes,Month-to-month,2172.05,No
274,Male,0,No,No,1,Yes,No,Month-to-month,70.6,Yes
275,Male,0,Yes,No,5,Yes,Yes,Month-to-month,401.1,Yes
276,Female,0,Yes,No,52,Yes,Yes,Month-to-month,5624.85,Yes
277,Male,1,Yes,No,21,Yes,No,Month-to-month,1339.8,No
278,Male,0,No,No,14,No,No phone service,Month-to-month,771.95,No
279,Female,0,No,No,5,Yes,No,Month-to-month,244.75,No
280,Female,0,No,No,6,Yes,No,Month-to-month,322.9,No
281,Female,0,No,No,10,Yes,No,Month-to-month,498.25,No
282,Female,0,No,Yes,1,Yes,Yes,Month-to-month,25.4,No
283,Female,0,No,No,68,Yes,Yes,Month-to-month,3687.75,No
284,Male,0,Yes,Yes,18,Yes,No,Month-to-month,1779.95,Yes
285,Female,0,No,No,22,Yes,Yes,One year,1783.6,No
286,Female,0,No,No,20,Yes,No,Month-to-month,927.15,No
287,Male,0,Yes,No,1,Yes,No,Month-to-month,70.0,Yes
288,Male,1,No,No,8,Yes,No,Month-to-month,606.55,Yes
289,Male,0,No,No,10,Yes,No,Month-to-month,435.4,Yes
290,Male,1,No,No,24,Yes,Yes,Month-to-month,1712.7,Yes
291,Male,0,No,No,35,Yes,No,One year,2021.2,No
292,Male,0,Yes,Yes,23,Yes,No,One year,1940.8,No
293,Female,1,No,No,6,Yes,No,Month-to-month,567.8,No
294,Female,0,No,No,12,Yes,No,Month-to-month,220.35,No
295,Male,0,No,No,1,Yes,No,Month-to-month,20.25,No
296,Female,0,Yes,Yes,71,Yes,No,Two year,5436.45,No
297,Male,1,Yes,No,35,Yes,Yes,Month-to-month,3437.5,No
298,Male,0,Yes,Yes,40,Yes,Yes,Month-to-month,3015.75,No
299,Female,0,No,Yes,1,Yes,No,Month-to-month,73.6,Yes
300,Male,0,No,No,23,Yes,No,One year,1509.8,No
301,Female,1,No,No,4,Yes,Yes,Month-to-month,396.1,Yes
302,Male,0,No,No,4,Yes,No,Month-to-month,356.65,No
303,Female,0,Yes,Yes,68,No,No phone service,Two year,4109.0,No
304,Male,0,No,Yes,38,Yes,Yes,Month-to-month,3141.7,No
305,Male,0,Yes,Yes,52,Yes,Yes,Two year,1229.1,No
306,Male,1,Yes,No,32,Yes,Yes,Month-to-month,2303.35,Yes
307,Male,0,Yes,Yes,29,Yes,No,Two year,2054.4,No
308,Male,1,Yes,Yes,38,Yes,Yes,Month-to-month,3741.85,No
309,Male,0,No,Yes,48,Yes,Yes,One year,3682.45,No
310,Female,0,No,No,1,Yes,No,Month-to-month,19.25,No
311,Female,0,No,No,22,Yes,No,Month-to-month,1886.25,No
312,Female,0,No,No,43,Yes,Yes,Two year,4895.1,No
313,Female,1,Yes,No,5,Yes,No,Month-to-month,341.6,No
314,Male,0,No,No,5,Yes,No,Month-to-month,415.55,Yes
315,Male,0,Yes,Yes,51,Yes,Yes,One year,5686.4,No
316,Male,0,No,No,71,Yes,No,Two year,1355.1,No
317,Female,0,Yes,Yes,38,Yes,No,One year,3058.65,Yes
318,Male,1,Yes,No,24,Yes,No,Month-to-month,2231.05,Yes
319,Male,0,Yes,No,35,Yes,Yes,Month-to-month,3236.35,No
320,Female,1,No,No,54,Yes,Yes,One year,4350.1,Yes
321,Female,0,Yes,Yes,72,No,No phone service,Two year,4264.0,No
322,Male,0,No,No,1,Yes,No,Month-to-month,44.8,No
323,Female,0,Yes,Yes,9,Yes,No,One year,422.3,No
324,Male,0,No,No,69,No,No phone service,Two year,4176.7,No
325,Female,0,Yes,No,52,Yes,Yes,Month-to-month,5138.1,No
326,Female,1,Yes,No,11,Yes,No,Month-to-month,880.05,No
327,Female,1,No,No,2,Yes,No,Month-to-month,139.05,Yes
328,Female,1,Yes,Yes,28,No,No phone service,Month-to-month,973.65,No
329,Female,1,No,No,17,Yes,Yes,Month-to-month,1470.05,No
330,Female,0,Yes,Yes,35,Yes,No,Two year,739.35,No
331,Female,0,No,No,8,Yes,No,One year,161.95,No
332,Male,0,No,No,46,Yes,Yes,One year,4422.95,No
333,Female,0,No,No,7,Yes,Yes,Month-to-month,511.25,Yes
334,Female,0,No,No,2,Yes,Yes,Month-to-month,155.8,Yes
335,Male,0,Yes,Yes,68,Yes,Yes,One year,5293.95,Yes
336,Female,0,No,No,43,Yes,Yes,Two year,4759.85,Yes
337,Female,0,No,No,68,Yes,Yes,Two year,6148.45,No
338,Female,0,No,No,36,Yes,No,Month-to-month,3565.65,No
339,Male,0,Yes,No,63,Yes,Yes,Month-to-month,6603.0,Yes
340,Female,1,No,No,32,Yes,No,Month-to-month,1830.1,No
341,Female,0,Yes,No,71,Yes,Yes,Two year,6223.8,No
342,Female,0,Yes,Yes,66,Yes,Yes,Month-to-month,4508.65,No
343,Male,0,No,No,63,Yes,No,One year,1328.15,No
344,Female,0,No,Yes,41,Yes,No,One year,865.0,No
345,Female,1,No,No,1,Yes,Yes,Month-to-month,72.1,No
346,Female,0,No,No,2,Yes,No,Month-to-month,168.2,Yes
347,Female,0,Yes,No,70,Yes,No,Two year,1303.5,No
348,Female,0,No,No,23,No,No phone service,Month-to-month,996.85,No
349,Female,1,Yes,No,64,Yes,No,One year,6430.9,No
350,Male,0,Yes,Yes,37,Yes,Yes,Two year,2278.75,No
351,Male,0,No,Yes,17,Yes,No,One year,681.4,No
352,Female,1,No,No,7,Yes,No,Month-to-month,574.35,No
353,Male,0,Yes,Yes,4,Yes,Yes,Month-to-month,371.9,Yes
354,Female,1,No,No,21,No,No phone service,Month-to-month,840.1,Yes
355,Female,0,No,No,10,Yes,No,Month-to-month,846.0,Yes
356,Female,1,No,No,16,Yes,Yes,Month-to-month,889.0,No
357,Male,0,Yes,No,64,Yes,Yes,Two year,6823.4,No
358,Male,1,Yes,No,27,No,No phone service,Month-to-month,805.1,Yes
359,Male,0,Yes,Yes,42,Yes,Yes,One year,4016.75,No
360,Male,0,No,Yes,5,Yes,No,Month-to-month,83.75,No
361,Female,0,No,No,41,Yes,No,Two year,3959.15,No
362,Male,0,Yes,No,58,Yes,No,One year,2878.55,No
363,Female,0,No,No,47,Yes,No,Two year,945.7,No
364,Male,0,No,No,18,Yes,No,Month-to-month,1373.05,No
365,Male,0,No,No,5,Yes,No,Month-to-month,492.55,Yes
366,Male,0,Yes,No,23,Yes,No,Month-to-month,1406.0,No
367,Female,0,No,No,1,Yes,No,Month-to-month,19.15,No
368,Male,0,Yes,No,71,Yes,Yes,One year,6962.85,No
369,Male,0,Yes,Yes,72,Yes,Yes,Two year,8126.65,No
370,Male,0,Yes,Yes,33,Yes,No,One year,690.25,No
371,Male,0,No,No,2,Yes,Yes,Month-to-month,181.5,Yes
372,Male,0,No,Yes,24,No,No phone service,Two year,830.8,No
373,Female,0,Yes,Yes,56,Yes,Yes,One year,5608.4,No
374,Male,0,No,No,37,Yes,No,Month-to-month,3646.8,No
375,Female,0,No,No,43,Yes,Yes,One year,3662.25,No
376,Male,0,No,No,1,No,No phone service,Month-to-month,25.35,No
377,Female,0,Yes,No,25,Yes,Yes,Month-to-month,2566.5,Yes
378,Female,0,No,No,61,Yes,Yes,Two year,5308.7,No
379,Male,0,No,No,17,Yes,Yes,One year,1410.25,No
380,Female,0,Yes,No,41,Yes,No,One year,3339.05,No
381,Male,0,No,No,1,Yes,No,Month-to-month,50.65,Yes
382,Male,1,Yes,Yes,72,No,No phone service,Two year,4732.35,No
383,Male,0,No,No,1,Yes,Yes,Month-to-month,90.85,Yes
384,Male,0,No,No,48,Yes,Yes,Two year,5067.45,No
385,Male,1,Yes,No,11,Yes,No,Month-to-month,214.75,Yes
386,Female,1,Yes,No,55,Yes,Yes,Month-to-month,4874.7,Yes
387,Female,0,No,No,42,No,No phone service,One year,2348.45,No
388,Male,0,No,No,44,Yes,Yes,Month-to-month,4063.0,No
389,Male,0,No,Yes,1,Yes,No,Month-to-month,44.0,No
390,Female,0,No,No,27,Yes,Yes,Month-to-month,2595.25,No
391,Male,1,Yes,No,27,Yes,Yes,Month-to-month,2309.55,No
392,Female,1,No,No,2,Yes,No,Month-to-month,89.3,No
393,Female,0,No,No,19,Yes,No,Month-to-month,367.55,No
394,Female,1,Yes,No,42,Yes,Yes,Month-to-month,3944.5,No
395,Female,0,No,No,66,Yes,Yes,Two year,5965.95,No
396,Male,1,Yes,No,33,Yes,Yes,Month-to-month,3694.7,No
397,Female,0,No,No,34,Yes,No,Month-to-month,2524.45,Yes
398,Male,1,No,No,33,No,No phone service,Month-to-month,1803.7,No
399,Female,0,Yes,Yes,23,Yes,No,One year,415.1,No
400,Female,0,No,No,32,Yes,No,One year,624.15,No
401,Female,0,No,No,11,Yes,No,One year,237.7,No
402,Male,0,Yes,Yes,69,Yes,Yes,Month-to-month,7007.6,Yes
403,Female,0,Yes,No,68,Yes,No,One year,3848.8,No
404,Male,0,No,No,20,Yes,No,Two year,419.4,No
405,Male,0,No,No,72,Yes,No,Two year,1468.75,No
406,Male,0,Yes,Yes,60,Yes,Yes,One year,5812.0,No
407,Male,1,Yes,Yes,32,Yes,No,Month-to-month,2861.45,No
408,Female,0,No,No,1,Yes,No,Month-to-month,19.9,Yes
